id,x,y
0,728.84,2205.29
1,3310.43,3286.11
2,992.72,3063.56
3,2995.12,2326.27
4,1705.48,2473.29
5,350.69,2533.37
6,1653.54,980.15
7,3869.31,637.63
8,2698.47,2829.75
9,2252.65,1266.03
10,3807.77,289.50
11,1091.46,3860.55
12,512.06,1105.59
13,1536.35,2760.51
14,681.32,264.72
15,3853.63,2243.98
16,2417.05,1609.32
17,3831.26,2680.81
18,3046.33,2863.68
19,3258.69,2088.89
20,3326.44,3831.35
21,687.75,637.70
22,1544.47,3551.35
23,2398.93,2411.52
24,482.74,1910.97
25,2631.15,3157.09
26,2880.26,1413.39
27,3289.88,272.01
28,1330.56,2172.79
29,2809.32,3515.98
